Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Physical_Activity,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Electricity_Access,Region,Transport_Mode,Class_Size,Language_Section
10,76,Medium,Low,No,6,76,Yes,1,High,Public,2,Postgraduate,Near,Male,80,sometimes,West,Private car,33,Bilingual
28,97,Medium,Medium,Yes,7,88,Yes,2,Medium,Public,2,High School,Moderate,Male,74,sometimes,North,Private car,134,Bilingual
10,60,Medium,Medium,No,7,72,No,3,Medium,Public,3,High School,Near,Male,59,sometimes,Adamawa,Bus,108,Bilingual
26,84,Medium,Medium,No,7,64,Yes,2,High,Public,3,High School,Near,Male,69,no,Littoral,Bike,23,Francophone
27,80,Medium,Low,Yes,9,80,Yes,0,High,Public,2,High School,Moderate,Male,66,yes,Far North,Taxi,181,Francophone
13,95,Medium,Medium,Yes,7,69,Yes,1,Low,Public,2,Postgraduate,Moderate,Female,66,no,North West,Bike,50,Francophone
18,63,High,High,No,8,62,Yes,2,High,Public,4,High School,Near,Female,65,yes,South,Bike,69,Bilingual
13,87,High,Medium,Yes,4,96,Yes,3,Low,Public,3,College,Near,Male,67,yes,West,Taxi,38,Anglophone
19,87,High,High,No,8,77,Yes,3,Low,Private,4,High School,Moderate,Male,69,yes,Far North,Bus,182,Anglophone
18,87,Medium,Low,Yes,10,60,Yes,2,Medium,Public,3,High School,Near,Female,68,no,Centre,Bike,45,Francophone
25,98,Medium,Medium,Yes,9,84,Yes,1,Medium,Private,2,Postgraduate,Near,Female,73,yes,Adamawa,Bike,164,Francophone
28,93,Low,High,Yes,6,90,Yes,1,Low,Public,2,High School,Near,Female,71,yes,North,Bus,106,Bilingual
28,62,High,Medium,Yes,10,88,Yes,0,Low,Public,2,Postgraduate,Moderate,Male,67,sometimes,South West,Bus,88,Bilingual
17,79,Medium,Medium,Yes,7,80,Yes,1,High,Public,3,College,Near,Female,67,no,South West,Bus,63,Francophone
19,76,High,Low,No,7,76,Yes,0,High,Public,2,Postgraduate,Near,Male,66,no,North West,Bike,187,Francophone
10,72,Medium,Low,No,7,89,Yes,3,Medium,Public,4,College,Near,Female,63,sometimes,Far North,Private car,127,Bilingual
15,78,High,High,No,7,85,No,1,High,Public,1,High School,Far,Male,65,yes,Adamawa,Bike,101,Anglophone
26,75,Medium,Low,Yes,4,79,Yes,2,High,Public,1,College,Near,Male,67,yes,South,Walk,40,Bilingual
30,77,Medium,Low,Yes,8,83,Yes,1,Low,Public,3,College,Near,Male,69,yes,Far North,Bus,174,Anglophone
13,99,Medium,Medium,Yes,7,58,Yes,1,Low,Public,2,High School,Near,Male,67,yes,South West,Private car,175,Bilingual
16,64,High,Medium,Yes,7,51,Yes,4,High,Public,3,College,Near,Male,66,yes,Far North,Private car,55,Bilingual
20,97,High,High,Yes,7,97,Yes,2,Medium,Private,4,High School,Moderate,Female,74,sometimes,South,Bike,193,Francophone
22,79,High,Medium,No,6,97,No,2,High,Public,2,College,Moderate,Female,69,yes,North,Bus,113,Francophone
15,85,Low,Medium,Yes,7,89,Yes,0,Medium,Public,4,College,Moderate,Female,66,sometimes,West,Private car,113,Bilingual
23,93,High,Low,Yes,9,69,Yes,0,Medium,Private,3,Postgraduate,Moderate,Male,69,yes,East,Private car,163,Bilingual
17,74,Medium,Medium,Yes,8,58,Yes,1,High,Public,2,College,Far,Male,63,sometimes,West,Walk,59,Bilingual
20,77,Medium,Low,Yes,7,68,No,0,Medium,Private,3,College,Near,Female,65,no,East,Bus,74,Anglophone
23,76,Low,Medium,No,7,86,No,1,Low,Private,4,College,Far,Male,64,yes,North West,Walk,156,Anglophone
20,75,Low,Medium,No,7,67,Yes,0,Medium,Private,4,High School,Near,Male,64,yes,Centre,Private car,124,Anglophone
17,97,Low,High,Yes,6,90,Yes,2,Medium,Public,2,High School,Moderate,Male,69,no,Adamawa,Walk,158,Anglophone
19,93,High,High,No,7,84,Yes,5,Low,Public,3,High School,Near,Female,73,yes,South,Private car,114,Francophone
19,64,Medium,Medium,Yes,8,81,Yes,1,Medium,Public,3,High School,Moderate,Male,62,no,North,Walk,77,Francophone
18,64,Low,Low,Yes,7,97,Yes,2,Medium,Private,4,College,Near,Male,62,no,East,Walk,47,Anglophone
18,77,Medium,Medium,Yes,6,95,Yes,0,Medium,Private,2,Postgraduate,Moderate,Female,68,sometimes,Far North,Private car,139,Bilingual
30,64,Medium,Medium,No,7,86,Yes,1,Medium,Private,3,Postgraduate,Far,Female,66,sometimes,Adamawa,Taxi,105,Anglophone
23,85,Low,High,Yes,8,60,Yes,2,Medium,Public,1,College,Moderate,Female,68,yes,Littoral,Bike,55,Anglophone
18,66,Low,High,Yes,5,97,Yes,4,Medium,Public,4,High School,Moderate,Male,66,sometimes,South,Private car,114,Bilingual
24,81,Low,Medium,Yes,6,61,Yes,3,Medium,Public,3,Postgraduate,Near,Male,69,yes,Centre,Private car,180,Bilingual
18,60,Medium,Medium,Yes,5,69,Yes,0,Medium,Public,2,Postgraduate,Near,Female,62,yes,Adamawa,Walk,182,Anglophone
27,73,Low,Medium,No,7,91,Yes,2,High,Public,4,College,Far,Female,68,sometimes,North,Walk,26,Anglophone
22,87,Medium,Medium,No,8,60,Yes,2,Medium,Public,2,College,Moderate,Male,67,yes,South,Bike,96,Anglophone
19,79,Low,Medium,No,9,82,Yes,1,Low,Private,4,High School,Near,Male,65,no,North West,Taxi,25,Francophone
23,99,Low,Medium,No,9,73,Yes,0,Low,Public,4,College,Near,Male,69,sometimes,East,Bus,179,Bilingual
11,95,Medium,Medium,No,6,81,Yes,2,Low,Public,3,High School,Near,Male,67,yes,North West,Bike,22,Anglophone
13,74,Low,Low,Yes,7,98,Yes,0,Medium,Public,3,Postgraduate,Near,Female,64,no,North West,Bike,35,Francophone
13,62,Low,Medium,Yes,6,90,No,3,High,Private,3,Postgraduate,Near,Female,62,sometimes,South,Bike,138,Anglophone
21,94,Medium,Medium,Yes,9,65,Yes,5,High,Private,3,High School,Near,Male,71,sometimes,North,Taxi,85,Bilingual
30,96,Medium,High,Yes,9,53,No,0,Medium,Private,3,High School,Near,Male,72,yes,East,Walk,63,Francophone
33,93,High,High,Yes,7,98,Yes,0,Medium,Public,2,High School,Near,Female,74,sometimes,West,Walk,42,Bilingual
24,65,Low,High,No,6,79,Yes,1,Medium,Public,2,Postgraduate,Near,Male,66,yes,North,Private car,199,Anglophone
23,100,High,Low,Yes,4,59,Yes,2,Medium,Public,4,High School,Near,Female,72,yes,North,Walk,146,Francophone
9,70,High,Medium,No,5,81,Yes,1,High,Private,4,Postgraduate,Near,Female,65,no,South,Bus,162,Bilingual
17,89,High,Medium,Yes,4,52,Yes,0,Low,Public,3,College,Far,Female,67,no,South,Taxi,102,Francophone
15,96,Medium,High,Yes,5,59,Yes,2,Medium,Private,2,High School,Near,Male,70,no,East,Bus,28,Francophone
16,69,High,Medium,Yes,10,82,Yes,0,Low,Public,1,High School,Moderate,Male,62,yes,West,Taxi,106,Anglophone
19,96,Low,Low,Yes,5,70,Yes,0,Low,Public,2,High School,Far,Male,66,yes,Adamawa,Private car,131,Anglophone
17,72,Low,Medium,Yes,5,66,Yes,2,High,Public,3,College,Near,Male,65,sometimes,Centre,Walk,92,Francophone
8,99,Low,High,Yes,6,83,Yes,2,Medium,Public,4,Postgraduate,Near,Male,70,no,Centre,Bike,137,Bilingual
24,71,High,High,Yes,10,93,Yes,2,Medium,Private,2,College,Near,Female,69,yes,Centre,Private car,24,Anglophone
14,98,Medium,Medium,Yes,7,84,Yes,3,High,Public,3,High School,Near,Female,70,no,Littoral,Bike,27,Anglophone
21,62,High,High,No,8,73,Yes,2,High,Private,2,College,Near,Female,66,yes,Littoral,Taxi,143,Anglophone
32,88,Medium,Low,Yes,7,83,Yes,1,Low,Private,4,Postgraduate,Near,Male,73,yes,North West,Walk,116,Bilingual
14,81,High,Medium,No,4,85,Yes,3,Medium,Public,4,Postgraduate,Moderate,Female,69,sometimes,West,Taxi,114,Bilingual
5,79,High,High,Yes,9,89,Yes,3,Medium,Private,3,College,Near,Female,66,sometimes,Far North,Taxi,69,Anglophone
18,69,High,Medium,Yes,8,65,Yes,4,Medium,Public,4,High School,Far,Male,65,no,West,Walk,145,Bilingual
27,88,Medium,Low,No,7,56,Yes,2,Low,Public,4,Postgraduate,Near,Female,70,sometimes,North,Private car,55,Anglophone
32,68,High,High,No,10,84,Yes,0,Medium,Private,2,Postgraduate,Far,Male,70,sometimes,North,Bike,120,Bilingual
13,82,High,Medium,No,6,56,Yes,2,Low,Public,4,Postgraduate,Near,Male,67,no,Centre,Bus,92,Anglophone
23,70,Medium,High,Yes,7,73,Yes,1,Low,Private,3,Postgraduate,Near,Male,68,yes,East,Walk,102,Anglophone
17,98,Medium,Low,Yes,6,62,Yes,1,Medium,Private,2,College,Near,Female,68,no,Littoral,Bus,143,Bilingual
19,61,High,Medium,No,9,67,Yes,0,Low,Public,2,College,Far,Female,61,yes,Adamawa,Bike,26,Francophone
36,68,Medium,Medium,Yes,8,74,Yes,2,Medium,Public,3,High School,Near,Male,70,no,East,Bike,93,Francophone
11,70,High,High,No,7,95,Yes,0,Low,Public,5,College,Moderate,Male,65,no,South West,Private car,88,Bilingual
22,77,Low,Medium,Yes,5,84,No,3,High,Public,2,High School,Moderate,Male,66,no,Far North,Taxi,168,Francophone
23,69,Medium,Medium,Yes,6,59,Yes,3,High,Public,3,Postgraduate,Moderate,Male,67,no,North West,Private car,159,Bilingual
27,80,Low,Low,Yes,5,94,Yes,3,High,Public,3,High School,Near,Male,69,no,Adamawa,Bike,96,Francophone
21,95,Medium,High,No,9,75,Yes,1,Low,Public,2,College,Far,Male,69,yes,North,Taxi,186,Bilingual
22,88,Medium,Medium,Yes,5,60,Yes,1,Low,Public,2,High School,Moderate,Male,67,no,East,Private car,37,Francophone
18,83,High,Low,No,9,76,Yes,0,Medium,Private,4,High School,Near,Female,66,sometimes,South West,Bus,167,Bilingual
22,64,Low,Medium,Yes,9,60,Yes,1,High,Private,2,High School,Near,Male,63,yes,North West,Bike,107,Bilingual
18,88,High,Medium,No,6,68,Yes,0,Medium,Public,4,High School,Far,Female,67,yes,Littoral,Bus,168,Francophone
24,67,High,Low,Yes,6,90,Yes,0,Low,Public,1,College,Far,Male,64,no,Littoral,Taxi,56,Francophone
18,91,Medium,Low,No,6,83,Yes,2,Low,Private,4,High School,Near,Male,68,yes,South,Private car,163,Francophone
22,70,Medium,High,Yes,8,74,Yes,2,Low,Public,2,,Moderate,Male,65,no,East,Bus,114,Francophone
20,77,Medium,Low,No,9,61,Yes,2,Medium,Public,3,High School,Near,Male,65,yes,North,Private car,28,Francophone
27,74,Medium,Low,Yes,9,64,No,1,Low,Public,3,High School,Near,Male,65,no,Adamawa,Walk,39,Francophone
20,94,Low,Medium,Yes,6,99,Yes,0,Medium,Public,4,College,Near,Female,70,sometimes,East,Bus,125,Anglophone
9,65,Medium,High,Yes,9,67,Yes,1,High,Public,3,High School,Near,Female,62,yes,South,Walk,108,Bilingual
28,83,High,Low,No,9,81,Yes,0,Low,Public,4,High School,Moderate,Male,68,sometimes,North West,Private car,102,Francophone
15,66,Low,High,Yes,7,75,Yes,0,High,Public,3,College,Near,Male,62,yes,West,Bus,109,Bilingual
16,88,Medium,High,Yes,7,51,Yes,0,Medium,Public,3,College,Near,Female,68,sometimes,South West,Bus,122,Anglophone
16,96,High,Medium,Yes,9,97,Yes,0,Medium,Private,5,College,Near,Male,72,yes,North West,Private car,58,Francophone
28,77,High,Medium,Yes,9,54,Yes,1,High,Public,3,Postgraduate,Near,Female,70,yes,North,Walk,127,Anglophone
7,80,High,Medium,No,9,83,No,3,Medium,Public,3,High School,Far,Female,62,yes,Littoral,Bus,111,Bilingual
39,97,High,High,Yes,10,91,Yes,2,Low,Public,3,High School,Moderate,Female,79,yes,South West,Bike,131,Bilingual
26,81,Medium,High,Yes,8,87,Yes,2,High,Public,1,Postgraduate,Near,Male,73,no,North,Walk,165,Francophone
21,80,High,High,Yes,7,90,Yes,1,Low,Public,2,College,Far,Male,68,sometimes,South West,Walk,43,Francophone
20,83,High,Medium,Yes,9,87,Yes,0,High,Public,2,High School,Near,Male,68,sometimes,North West,Taxi,24,Anglophone
22,88,Medium,Medium,Yes,10,72,Yes,2,Low,Public,2,High School,Moderate,Female,69,no,Centre,Bus,132,Francophone
23,64,Medium,Low,Yes,6,95,Yes,1,Low,Public,2,College,Far,Female,63,yes,South West,Walk,95,Bilingual
24,93,Medium,Medium,Yes,7,96,No,5,High,Public,4,Postgraduate,Near,Female,74,sometimes,South,Walk,57,Anglophone
23,77,Medium,Medium,Yes,5,72,Yes,2,High,Public,5,College,Moderate,Female,69,yes,North,Walk,121,Anglophone
21,63,Medium,Low,No,8,74,Yes,0,Low,Public,3,High School,Near,Female,61,sometimes,Centre,Bike,114,Francophone
19,91,Medium,Low,Yes,8,74,Yes,4,Medium,Public,2,Postgraduate,Near,Female,69,yes,West,Walk,129,Francophone
19,75,Medium,Low,No,6,64,Yes,2,Low,Public,3,High School,Near,Female,64,no,West,Bike,169,Francophone
19,64,Medium,Medium,Yes,9,56,Yes,2,Low,Public,4,Postgraduate,Far,Female,63,yes,South,Private car,43,Anglophone
27,85,Low,High,No,6,63,Yes,1,Low,Public,2,College,Near,Male,68,sometimes,Far North,Private car,114,Anglophone
24,95,High,Medium,Yes,6,92,Yes,2,Low,Public,3,High School,Far,Male,72,no,Far North,Bus,178,Francophone
2,96,Low,High,Yes,9,77,Yes,3,Medium,Public,2,High School,Far,Female,65,yes,East,Walk,170,Bilingual
24,98,Low,Low,No,6,93,No,2,Low,Public,4,College,Near,Male,69,no,East,Private car,90,Bilingual
21,95,Medium,Low,No,5,87,Yes,2,Medium,Private,4,High School,Near,Male,70,sometimes,Adamawa,Bike,137,Bilingual
20,60,Medium,Medium,Yes,8,67,Yes,1,Medium,Public,4,Postgraduate,Moderate,Female,63,sometimes,East,Walk,54,Francophone
18,75,Low,Medium,Yes,7,59,Yes,0,Medium,Public,2,High School,Near,Female,62,yes,South West,Taxi,29,Francophone
27,93,Medium,Medium,Yes,9,78,Yes,1,Low,Public,2,Postgraduate,Near,Female,72,sometimes,South West,Bike,71,Francophone
26,75,High,High,No,8,97,Yes,1,Low,Public,4,High School,Far,Male,69,no,East,Private car,68,Anglophone
15,84,Medium,Medium,No,4,92,Yes,2,Medium,Public,3,High School,Moderate,Female,66,sometimes,Far North,Walk,126,Bilingual
22,84,Medium,Medium,Yes,9,88,Yes,2,Low,Private,4,Postgraduate,Near,Male,71,sometimes,Adamawa,Bike,98,Francophone
14,75,Low,Low,No,10,88,Yes,2,Low,Private,3,College,Moderate,Female,62,no,West,Bike,182,Bilingual
12,96,Medium,Low,Yes,9,76,Yes,2,Medium,Public,2,High School,Near,Male,68,sometimes,Centre,Taxi,162,Francophone
16,80,High,Low,No,9,58,Yes,0,Medium,Public,2,High School,Near,Female,63,sometimes,Centre,Taxi,22,Anglophone
25,79,Medium,Medium,Yes,7,64,Yes,0,Low,Public,3,College,Far,Female,66,no,Littoral,Bike,167,Anglophone
26,100,High,Medium,Yes,6,79,Yes,1,Medium,Public,3,College,Moderate,Male,75,sometimes,Far North,Walk,47,Bilingual
23,80,Medium,Low,Yes,7,66,Yes,1,High,Private,4,College,Near,Female,69,yes,Far North,Taxi,155,Bilingual
24,67,High,Medium,No,8,89,Yes,2,High,Private,3,High School,Near,Female,68,no,North West,Taxi,160,Anglophone
23,81,High,Medium,No,8,69,Yes,5,Medium,Public,2,High School,Moderate,Male,69,no,Far North,Taxi,82,Anglophone
16,93,High,Low,No,6,56,Yes,2,Low,Public,4,High School,Near,Male,67,sometimes,Centre,Taxi,96,Francophone
23,91,High,Medium,Yes,6,89,Yes,3,Medium,Private,3,Postgraduate,Near,Male,73,yes,East,Walk,42,Francophone
25,92,Medium,High,Yes,5,85,Yes,1,Low,Public,1,College,Near,Male,71,sometimes,East,Taxi,194,Francophone
25,88,High,Medium,Yes,8,63,Yes,2,High,Public,3,High School,Moderate,Female,71,no,South,Bus,102,Anglophone
27,70,Medium,Medium,No,6,99,Yes,2,Low,Private,2,High School,Near,Female,68,yes,South,Private car,25,Bilingual
24,94,High,Low,No,7,70,Yes,1,High,Public,1,High School,Near,Male,70,no,Far North,Bus,86,Bilingual
22,96,Low,High,Yes,10,84,Yes,1,High,Public,3,High School,Near,Male,71,sometimes,South West,Bike,136,Francophone
26,68,Medium,High,No,8,96,Yes,1,Medium,Public,2,High School,Near,Male,69,sometimes,South West,Taxi,173,Anglophone
20,65,High,Medium,No,7,58,No,3,Low,Private,4,High School,Near,Male,63,sometimes,East,Walk,113,Bilingual
15,99,Low,Medium,Yes,8,94,Yes,2,Medium,Private,3,Postgraduate,Near,Male,71,no,Adamawa,Bus,37,Bilingual
19,95,Medium,Medium,Yes,9,85,No,2,Low,Public,3,College,Near,Male,69,sometimes,North West,Bike,134,Anglophone
16,96,High,Medium,Yes,5,58,Yes,2,High,Public,5,Postgraduate,Moderate,Male,71,no,Adamawa,Walk,67,Bilingual
16,95,Medium,Low,No,6,83,Yes,2,Low,Private,3,High School,Near,Female,68,yes,Littoral,Bike,146,Anglophone
19,82,Medium,Medium,No,7,94,Yes,1,Medium,Public,3,High School,Near,Female,68,no,North West,Bike,54,Francophone
15,86,Medium,Low,No,6,90,Yes,0,Medium,Public,3,Postgraduate,Far,Male,66,sometimes,South West,Bus,167,Anglophone
18,82,Medium,Medium,No,7,88,Yes,3,Low,Public,3,College,Moderate,Female,67,yes,South West,Taxi,112,Anglophone
9,62,Low,High,Yes,5,58,Yes,0,Medium,Private,5,College,Moderate,Female,59,no,Far North,Bike,195,Anglophone
21,90,Low,Medium,No,8,60,Yes,1,Low,Public,2,College,Near,Female,66,no,North West,Private car,123,Bilingual
20,80,Low,Low,No,6,77,Yes,0,Medium,Private,3,High School,Near,Male,64,yes,Centre,Bus,124,Francophone
15,86,Medium,Medium,No,7,79,Yes,1,Low,Public,3,High School,Moderate,Female,64,sometimes,South West,Walk,91,Bilingual
24,80,Medium,High,Yes,7,97,Yes,0,Low,Private,4,High School,Moderate,Female,69,yes,South West,Bike,163,Francophone
26,80,High,Low,No,8,73,Yes,1,Medium,Public,3,High School,Near,Male,69,yes,North,Bike,94,Francophone
10,67,Medium,Medium,No,4,65,No,3,Medium,Public,3,High School,Near,Male,61,yes,Adamawa,Private car,82,Anglophone
15,71,High,High,No,8,60,Yes,0,Low,Private,3,High School,Far,Female,62,sometimes,Centre,Bus,194,Bilingual
15,66,Low,Medium,No,7,53,Yes,2,Medium,Public,3,College,Near,Female,61,no,North,Bus,183,Anglophone
14,68,Medium,Medium,Yes,8,53,Yes,1,Medium,Private,2,College,Near,Female,63,yes,Far North,Taxi,118,Bilingual
25,99,Medium,Low,No,5,79,Yes,2,Low,Public,4,College,Near,Female,71,no,East,Walk,83,Anglophone
19,66,High,High,Yes,8,59,Yes,1,Medium,Public,2,Postgraduate,Moderate,Female,65,no,Far North,Bike,88,Bilingual
18,71,High,High,Yes,9,93,Yes,1,Low,Private,4,College,Moderate,Male,68,no,North,Bus,145,Bilingual
8,84,High,High,No,7,80,Yes,1,High,Public,4,High School,Moderate,Male,67,sometimes,West,Walk,193,Bilingual
24,84,Low,High,Yes,6,93,Yes,2,Low,Public,1,High School,Near,Female,70,no,East,Walk,183,Francophone
13,66,High,Medium,Yes,6,71,Yes,3,Medium,Public,3,High School,Near,Male,64,no,West,Private car,23,Anglophone
20,92,Medium,High,No,8,80,Yes,0,Medium,Private,3,College,Near,Male,71,no,South,Private car,130,Bilingual
22,91,High,Medium,Yes,8,76,Yes,2,Medium,Public,3,College,Moderate,Female,71,no,South West,Bike,146,Bilingual
28,69,Medium,High,No,8,99,Yes,0,High,Private,3,High School,Moderate,Female,67,yes,East,Walk,116,Bilingual
12,72,Medium,Low,Yes,7,90,Yes,0,High,Public,3,Postgraduate,Far,Male,63,yes,East,Private car,30,Francophone
2,98,Low,High,Yes,7,80,Yes,2,Low,Public,1,High School,Near,Male,66,yes,East,Bike,171,Bilingual
21,93,Medium,Low,Yes,7,80,Yes,3,High,Public,1,High School,Moderate,Male,70,sometimes,South,Taxi,64,Francophone
31,88,Medium,Low,No,6,62,Yes,2,Low,Private,4,High School,Near,Male,70,yes,Littoral,Private car,160,Anglophone
27,63,Low,Medium,Yes,8,87,Yes,3,Low,Private,3,High School,Near,Female,67,no,North West,Walk,80,Bilingual
21,77,Low,Medium,No,7,99,Yes,3,Medium,Public,3,Postgraduate,Near,Male,69,sometimes,Adamawa,Bus,51,Bilingual
17,82,High,Low,No,9,56,Yes,3,High,Public,2,High School,Near,Female,66,no,East,Private car,26,Anglophone
25,67,Medium,High,No,9,82,Yes,1,Medium,Public,3,Postgraduate,Far,Female,67,no,West,Bus,93,Bilingual
14,78,High,Medium,Yes,7,76,Yes,0,High,Public,2,College,Near,Female,65,sometimes,North,Walk,150,Francophone
23,84,High,High,Yes,8,93,Yes,1,High,Public,3,Postgraduate,Far,Male,72,no,West,Bus,180,Anglophone
23,73,High,High,No,6,50,Yes,1,Medium,Public,3,College,Near,Male,68,yes,Far North,Taxi,163,Francophone
26,91,High,Medium,Yes,7,57,Yes,3,Medium,Public,3,College,Near,Male,72,sometimes,North,Bike,198,Anglophone
37,94,High,Medium,Yes,8,52,Yes,1,Low,Private,3,Postgraduate,Near,Male,76,no,Centre,Bike,65,Bilingual
22,73,Medium,Low,Yes,5,58,Yes,4,Low,Public,3,College,Near,Female,65,no,Littoral,Taxi,85,Anglophone
17,94,Low,Medium,No,8,85,Yes,1,Medium,Public,4,High School,Near,Male,68,no,Adamawa,Walk,157,Francophone
20,64,Medium,Medium,Yes,6,57,Yes,3,Low,Public,4,College,Near,Female,65,no,Littoral,Walk,23,Anglophone
9,94,Medium,Medium,Yes,6,81,Yes,0,Low,Public,3,High School,Near,Male,66,no,Centre,Bus,128,Francophone
16,66,Low,Medium,No,6,93,Yes,7,Low,Public,2,High School,Far,Male,63,no,Adamawa,Walk,40,Anglophone
18,63,Medium,Low,No,7,52,Yes,2,High,Public,3,Postgraduate,Moderate,Female,63,yes,North West,Walk,50,Bilingual
17,86,Medium,Medium,Yes,5,51,Yes,2,Low,Private,2,Postgraduate,Moderate,Male,66,no,North West,Walk,50,Bilingual
21,79,High,Low,Yes,8,99,Yes,2,Low,Public,4,High School,Near,Male,69,yes,South West,Bike,147,Anglophone
15,96,Medium,High,Yes,7,84,Yes,3,Medium,Public,1,Postgraduate,Near,Male,72,no,North,Bus,183,Anglophone
27,75,Medium,Low,Yes,10,57,Yes,3,High,Public,3,High School,Near,Male,66,sometimes,West,Bus,73,Anglophone
20,71,Medium,Medium,Yes,7,65,No,2,Medium,Public,4,High School,Moderate,Female,64,no,East,Bike,190,Anglophone
20,80,Medium,Low,Yes,8,99,Yes,0,Low,Private,3,High School,,Male,67,yes,South West,Private car,168,Francophone
18,78,High,High,Yes,6,61,Yes,1,Low,Private,5,High School,Near,Male,67,yes,Far North,Private car,137,Anglophone
21,74,Low,Medium,Yes,5,88,Yes,1,Medium,Public,1,College,Near,Male,66,no,South West,Taxi,144,Francophone
25,88,Medium,Low,Yes,8,62,Yes,2,Low,Public,2,High School,Near,Female,68,no,Far North,Taxi,81,Francophone
15,90,Medium,Medium,No,5,70,Yes,0,Medium,Private,2,High School,Moderate,Male,65,sometimes,Centre,Taxi,118,Bilingual
16,94,Medium,High,Yes,8,94,Yes,2,Low,Private,3,High School,Near,Male,71,yes,Far North,Bus,102,Anglophone
18,99,Medium,High,Yes,10,51,Yes,1,Medium,Public,4,Postgraduate,Near,Male,71,sometimes,Littoral,Taxi,152,Bilingual
12,71,Medium,Medium,Yes,8,65,Yes,1,Medium,Private,2,High School,Moderate,Male,62,yes,North West,Taxi,96,Anglophone
15,89,Medium,High,Yes,8,74,Yes,2,Medium,Public,2,College,Near,Male,69,no,Littoral,Bike,35,Anglophone
17,76,Medium,Low,No,7,81,Yes,4,High,Private,2,High School,Near,Male,65,no,Far North,Private car,44,Francophone
25,87,High,Low,No,6,51,Yes,3,Medium,Public,3,Postgraduate,Near,Male,70,no,Adamawa,Taxi,54,Anglophone
22,79,Medium,Medium,Yes,7,71,Yes,2,Low,Private,2,College,Moderate,Male,66,sometimes,North West,Taxi,139,Bilingual
21,100,Medium,Medium,No,6,67,Yes,0,High,Public,3,High School,Far,Male,70,yes,South,Private car,126,Anglophone
25,89,Medium,High,No,5,51,Yes,2,Medium,Private,2,Postgraduate,Moderate,Female,70,sometimes,South West,Walk,52,Francophone
19,98,Low,High,Yes,7,68,Yes,1,Low,Private,4,High School,Moderate,Female,69,yes,Adamawa,Bike,62,Anglophone
22,93,High,Low,Yes,9,97,Yes,2,Medium,Public,3,High School,Near,Male,71,sometimes,North,Bus,80,Francophone
19,96,Medium,Medium,No,5,64,Yes,1,Medium,Public,3,High School,Near,Male,69,sometimes,Littoral,Private car,63,Bilingual
22,93,High,Medium,No,9,79,Yes,2,Medium,Public,2,Postgraduate,Near,Female,73,sometimes,West,Bike,97,Bilingual
17,78,Medium,Medium,Yes,9,65,Yes,1,Medium,Public,4,High School,Moderate,Female,65,no,North West,Bike,171,Francophone
5,70,High,High,Yes,8,55,Yes,3,Low,Public,3,High School,Near,Male,62,yes,East,Walk,97,Francophone
19,75,Medium,High,No,8,64,Yes,2,High,Public,5,Postgraduate,Moderate,Female,67,sometimes,Littoral,Walk,180,Bilingual
29,61,Low,Medium,Yes,7,74,Yes,1,Medium,Public,3,Postgraduate,Moderate,Male,65,sometimes,South,Walk,189,Anglophone
26,81,Low,Medium,No,7,65,Yes,1,Medium,Public,3,High School,Far,Male,65,sometimes,West,Taxi,96,Bilingual
26,80,Medium,High,Yes,6,81,Yes,0,Medium,Public,2,College,Near,Female,70,no,East,Private car,144,Anglophone
27,81,Medium,Medium,Yes,7,97,Yes,1,Medium,Public,2,College,Near,Female,70,sometimes,West,Taxi,179,Anglophone
21,99,Medium,High,Yes,7,53,Yes,0,Medium,Public,4,Postgraduate,Near,Female,71,yes,Far North,Private car,161,Anglophone
21,96,High,Low,No,10,86,Yes,1,Low,Public,3,College,Near,Male,71,no,Adamawa,Walk,39,Anglophone
16,66,Medium,Medium,Yes,8,50,Yes,1,Medium,Public,4,High School,Moderate,Male,62,sometimes,West,Walk,146,Anglophone
18,75,Medium,Low,No,7,50,Yes,4,Low,Public,2,Postgraduate,Near,Female,65,sometimes,Adamawa,Bus,83,Anglophone
24,77,High,Medium,Yes,7,57,Yes,3,Medium,Public,2,College,Far,Male,84,sometimes,North West,Bike,106,Anglophone
27,74,Medium,Medium,Yes,6,74,Yes,2,Medium,Public,2,College,Far,Male,68,sometimes,Adamawa,Taxi,69,Francophone
19,92,High,Medium,Yes,6,52,Yes,3,High,Public,1,High School,Near,Male,70,no,Adamawa,Bus,132,Anglophone
17,81,Medium,High,No,8,86,Yes,1,Medium,Private,3,Postgraduate,Near,Male,68,no,South West,Walk,130,Francophone
20,83,Medium,Medium,No,6,51,Yes,2,Low,Public,4,Postgraduate,Near,Male,67,no,North,Walk,110,Francophone
24,94,Low,Medium,Yes,6,75,Yes,1,Low,Public,4,High School,Near,Female,69,yes,Adamawa,Bike,168,Francophone
11,92,High,High,Yes,6,84,Yes,2,Low,Public,1,High School,Near,Female,68,sometimes,Centre,Bus,156,Anglophone
6,65,High,High,No,6,62,No,3,Low,Public,1,High School,Near,Male,59,no,West,Private car,42,Francophone
17,89,High,Low,Yes,9,79,No,0,Medium,Public,2,College,Near,Female,67,yes,North West,Walk,27,Anglophone
